solemnly,75.489044,-55.922134,41.96926
requires,64.273544,-20.630316,80.17833
towns,-73.15368,-80.16801,-50.97056
common,3.5957017,38.517746,-38.01115
exercise,48.812862,-124.932846,22.88863
whereby,-79.13647,-41.319035,-39.930775
fellow,67.767044,11.859081,-108.26614
english,-57.27357,111.05461,41.03394
boundaries,-55.13715,-66.73318,38.642376
waging,-46.389538,31.258747,-75.54466
pursuing,28.290625,6.5415044,25.594156
barbarous,-94.00676,55.118103,52.979004
frontiers,-62.36685,-57.818832,32.123817
hands,73.56704,-45.968376,-2.5420241
and,100.9375,-24.339901,-33.485935
ties,51.130306,-18.338238,122.20294
commerce,17.927212,13.905649,51.275505
multitude,-72.290886,53.99774,-10.344955
immediate,37.095722,-37.099533,63.398705
pass,31.847366,-56.63963,-100.048706
act,-49.199944,-23.363632,42.96005
respect,-35.472507,-51.593937,56.37505
they,89.558105,14.024175,-24.503242
people,-16.455767,1.7004142,-105.683014
any,23.162338,-39.604576,31.30751
administration,-10.802013,-8.410992,67.28893
depriving,-65.35764,80.9429,59.730427
thus,50.156437,-94.84978,44.113102
wholesome,82.65141,-33.95758,21.935518
plundered,-84.163536,16.94036,-97.23046
accustomed,-0.2050062,69.25564,38.52121
civilized,-88.38666,70.428345,52.377937
decent,56.3788,58.457134,-0.14603925
laws,33.491028,48.262054,92.26419
states,-22.463917,8.788631,86.93573
foundation,33.131615,8.26097,98.58233
candid,-8.732948,68.56251,-60.67248
cruelty,-83.457214,39.120758,58.08151
enlarging,50.9676,8.325949,31.313927
station,12.311998,-92.93958,-80.69454
declare,-53.4564,71.08751,-17.58921
peace,-104.54667,77.26443,-16.062733
fall,65.944595,46.741116,-68.13021
publish,-42.438473,83.12489,-79.325966
future,9.35875,-11.363298,1.494855
life,10.201495,14.167459,-11.331347
warfare,-59.016415,44.388355,-74.20525
direct,25.575975,-43.743156,56.55209
dissolutions,44.92729,33.226364,55.62033
great,43.82233,38.07794,-90.96229
benefits,66.1896,-20.055422,28.902733
arms,62.645435,-48.866196,10.54669
will,84.94402,51.825863,-26.790636
nor,-39.110443,75.937935,1.8165503
legislate,14.181022,51.237637,61.32384
attempts,4.551118,28.877197,18.29663
rights,-61.68875,15.591668,79.54336
evinces,-55.03306,37.60019,3.5135486
perfidy,-23.495487,66.71275,112.16778
submitted,-33.63502,71.697395,-94.72394
answered,76.611244,85.178345,-20.633799
firmness,20.495386,-79.7992,26.95315
acquiesce,6.841391,113.36341,-50.82634
rest,75.941864,-30.44446,-49.23748
prove,-19.662273,74.10906,-4.000802
shown,-16.220182,23.16489,-66.97437
jury,-28.50387,89.04719,62.288605
patient,125.737,48.539963,17.534615
be,-8.650364,-24.0343,-169.0905
principles,32.71245,30.746675,117.684654
truths,-107.35116,18.15952,-50.40193
importance,19.730556,19.392965,118.79608
province,-81.345825,71.75418,-65.555115
civil,-49.27467,13.378777,69.040855
invasion,-108.52555,-58.477715,32.41483
congress,-9.445154,17.766026,72.15381
houses,-55.268475,-78.891685,-46.487988
appealing,-5.1085534,59.248238,-27.68421
political,-42.50136,-1.0694984,59.857594
constitution,-9.827811,15.893289,52.707554
arbitrary,-40.49533,-12.791536,16.779167
inevitably,118.39478,-64.4626,-28.769377
deaf,48.926926,120.659775,-39.65609
settlement,52.553715,21.263857,63.0291
alter,-66.7181,-20.573105,-12.676308
lives,4.0254936,16.504753,-24.183977
just,42.889526,-22.18886,-75.39319
most,28.4807,45.17616,-30.286524
lands,-68.448296,-52.5178,66.34767
an,4.8577065,-19.051022,-81.32366
at,33.17271,-88.15276,-61.668957
judges,-37.058147,76.655106,78.236885
as,8.598546,6.8593206,-58.596294
system,33.799137,-74.685074,86.663414
obstructing,-88.5506,-38.664516,-19.341955
evident,-29.665703,42.660843,-47.126614
jurisdiction,-65.088,-95.15589,86.825424
appropriations,89.29879,28.122044,69.752075
appealed,-19.985428,74.8981,63.659332
transient,-83.75822,-12.14225,-66.08597
governors,-12.2252655,33.849865,97.31551
facts,99.93258,-67.740234,10.318644
laying,38.752216,-43.810192,-7.724585
while,31.787352,-50.873318,-35.40405
usurpations,-119.491806,27.68282,25.507626
creator,-10.052259,-23.83872,-54.10034
compleat,-23.329046,120.54341,13.002888
for,30.498306,-77.0199,-20.794044
legislation,17.709284,53.934875,84.40029
marked,-14.532075,40.459606,-73.692406
guards,-15.832127,-31.139736,128.37247
fundamentally,-55.57945,57.65616,101.91711
therein,-103.813995,-47.256447,-44.55514
tyrants,-111.45693,25.731699,40.6321
offences,-54.29768,1.2852234,34.91781
accordingly,-57.111595,6.0679164,-9.255051
rectitude,-117.7753,-8.391489,-29.288385
giving,46.93624,-61.2739,-25.29704
relinquish,-24.841911,63.401627,19.270967
other,46.287613,17.627098,-38.694195
disposed,-94.73088,-40.97425,-55.555687
disavow,-73.977905,69.62162,21.670074
have,79.47777,24.833048,-18.593344
having,75.607025,-60.35107,-49.79345
operation,31.3908,-66.3626,71.40414
others,56.30846,11.392978,-22.494373
another,14.74412,-33.02234,-70.91314
districts,-71.29656,-99.75304,-50.09057
becomes,7.2367563,2.9484067,-88.770706
scarcely,-20.401798,46.774662,-18.528238
governments,-34.91072,-8.47635,82.144066
kindred,-89.71046,43.296246,-13.58325
establish,38.32931,-1.4399893,68.18716
stage,50.80141,-85.443085,-72.38883
security,48.694862,-51.347885,98.61698
levy,81.174805,44.00487,69.80863
despotism,-103.81444,35.580902,27.839546
separate,-14.730716,-96.242134,-25.431818
dissolved,-49.737698,-10.951875,-81.13541
authority,84.53904,-88.56606,-60.898186
crown,51.81182,118.57786,-0.63623244
tenure,75.2202,10.674559,50.105125
prince,55.61965,110.5303,20.847233
hold,75.65612,-42.965916,-26.163332
injuries,-2.770746,-135.0317,-29.237114
raising,43.68731,-10.902891,19.51121
evils,-76.77325,36.32612,32.446045
separation,-64.43588,-48.070415,-36.53859
fit,92.30954,-51.008442,-30.653175
prevent,-21.499851,-15.241296,-14.96357
intentions,20.026754,-37.705837,85.05702
amongst,-82.52837,-15.673849,78.234825
established,27.308565,-12.562059,61.77754
consanguinity,31.783207,77.08165,-6.278288
government,-26.547276,-5.4190316,69.7312
conditions,28.431261,95.406494,-37.12221
taken,-13.380586,-55.028706,-20.195843
ends,5.3963375,-63.94362,-77.02607
he,-15.4579115,-120.265915,69.40357
legislature,1.9758399,34.237,83.7381
our,49.21623,10.702615,-64.73835
united,-60.334583,107.34625,5.3198266
king,51.723465,103.359276,9.686112
shall,88.729034,68.51626,11.910964
one,22.197626,17.214676,-57.870953
protection,-33.645065,-69.55129,-98.78096
out,82.779076,13.3685255,-61.71725
legislatures,-9.499016,37.988884,75.604355
unworthy,-37.247322,65.092026,34.366528
firm,-16.854336,-106.98378,7.301251
liberty,-100.61069,68.99255,-0.5329103
now,40.102196,-12.639908,-55.389824
oppressions,-92.26563,23.563353,38.58263
systems,43.90808,-81.3787,92.74299
incapable,1.0905824,62.677013,3.3996248
british,-39.55218,119.98408,35.20958
more,-75.90506,-15.03161,40.5004
cases,41.763138,83.4123,-76.00887
times,106.74694,-17.06099,-10.98962
native,37.914326,71.078445,-17.644835
has,13.398787,-1.4355117,-40.173798
invariably,-98.62326,-4.3936486,43.124416
